UFMG,7.86
UFRGS,7.2
ICMC/USP,6.73
FURG,6.6
UFPE,5.0
UNICAMP,3.93
UFRN,3.6
UFPB,2.8
Unisinos,2.66
UFSCar,2.6
UnB,2.4
PUC-RS,1.6
UNESP,1.6
EACH/USP,1.2
ITV,1.2
UFAM,1.2
UFJF,1.2
UTFPR,1.2
UFPR,1.13
UNIFEI,1.13
COPPE/UFRJ,1.13
LNCC,1.06
FEI,0.8
PUCPR,0.8
UFAL,0.8
UFSC,0.8
UNIFESP,0.8
IME/USP,0.73
UFBA,0.73
UFF,0.73
UFMS,0.73
DCC/UFRJ,0.4
PUC Minas,0.4
PUC-Rio,0.4
UECE,0.4
UFC,0.4
UFOP,0.4
UFPA,0.4
UFPEL,0.4
UFSJ,0.4
UFV,0.4
UNIRIO,0.4
