Alan Valejo,UFSCar
Alberto Schaeffer Filho,UFRGS
Aldo von Wangenhein,UFSC
Aldri dos Santos,UFMG
Aleteia de Araujo,UnB
Alex Vieira,UFJF
Alexandre Falcao,UNICAMP
Alexandro Baldassin,UNESP
Alisson Vasconcelos de Brito,UFPB
Alneu de Andrade Lopes,ICMC/USP
Aluizio Araujo,UFPE
Ana Carolina Lorena,UNIFESP
Ana Cristina Vendramin,UTFPR
Anderson Maciel,UFRGS
Andre Drummond,UnB
Andre Schneider de Oliveira,UTFPR
Anelise Munaretto,UTFPR
Angelo Brayner,UFC
Antonio Alfredo Ferreira Loureiro,UFMG
Antonio Tadeu Gomes,LNCC
Armando Alves Neto,UFMG
Artur Ziviani,LNCC
Bernardo Pereira Nunes,PUC-Rio
Bianchi Meiguins,UFPA
Breno Miranda,UFPE
Carla Freitas,UFRGS
Carla Rocha,UnB
Carlos Maziero,UFPR
Cesar Comin,UFSCar
Claudio Geyer,UFRGS
Claudio Jung,UFRGS
Cristiano Costa,Unisinos
Dalvan Griebler,PUC-RS
Daniel Fernando Tello Gamarra,UFSM
Danilo Hernani Perico,FEI
Dante Augusto Couto Barone,UFRGS
Debora Muchaluat Saade,UFF
Denis Fernando Wolf,ICMC/USP
Diego Amancio,ICMC/USP
Diego Nunes Bertolani,IFES
Djamel Sadok,UFPE
Douglas Guimaraes Macharet,UFMG
Edison Pignaton de Freitas,UFRGS
Edison Pignaton de Freitas,UFRN
Edmundo Madeira,UNICAMP
Edson Emilio Scalabrin,PUCPR
Edson Matsubara,UFMS
Edson Prestes e Silva,UFRGS
Eduardo Feitosa,UFAM
Eduardo Todt,UFPR
Eduardo Viegas,PUCPR
Eliane Martins,UNICAMP
Elias Duarte,UFPR
Elias Jos̩ de Rezende Freitas,IFMG
Elisa Yumi Nakagawa,ICMC/USP
Emerson Paraiso,PUCPR
Erickson Rangel do Nascimento,UFMG
Esther Luna Colombini,UNICAMP
Fabiane Barreto Vavassori Beniti,UFSC
Fabio Cappabianco,UNIFESP
Fabio Kon,IME/USP
Fabricio Benevenuto,UFMG
Fatima Nunes,EACH/USP
Felipe Franca,COPPE/UFRJ
Felipe Gomes de Oliveira,UFAM
Flavia Delicato,DCC/UFRJ
Frank Siqueira,UFSC
Gabriel de Oliveira Ramos,Unisinos
Genaina Rodrigues,UnB
Geraldo Pereira Rocha Filho,UnB
Guilherme Sousa Bastos,UNIFEI
Gustavo Batista,ICMC/USP
Gustavo Pessin,ITV
Haniel Barbosa,UFMG
Hansenclever Bassani,UFPE
Hector Azpurua,UFMG
Helio Pedrini,UNICAMP
Jayme Szwarcfiter,COPPE/UFRJ
Jean Paul Barddal,PUCPR
Jo Ueyama,ICMC/USP
Joao Fabro,UTFPR
Joao Paulo Papa,UNESP
Joaquim Celestino,UECE
Joel Luis Carbonera,UFRGS
Jomi Hubner,UFSC
Jorge Luis Victoria Barbosa,Unisinos
Jose Maria Monteiro,UFC
Jọo Alberto Fabro,UTFPR
Judith Kelner,UFPE
Juliano Wickboldt,UFRGS
Kalinka Castelo Branco,ICMC/USP
Kelen Vivaldini,UFSCar
Kleinner Farias,Unisinos
Leandro Dias da Silva,UFAL
Leonardo Amaral Mozelli,UFMG
Leonardo da Rocha,UFSJ
Leonardo de Lellis Rossi,Unicamp
Lina Garces,UNIFEI
Luciana Porcher Nedel,UFRGS
Lucineia Heloisa Thom,UFRGS
Luiz Chaimowicz,UFMG
Luiz Fernando Bittencourt,UNICAMP
Luiz Filipe Vieira,UFMG
Luiz Gustavo Leao Fernandes,PUC-RS
Luiz Marcos Goncalves,UFRN
Marcelo Fantinato,EACH/USP
Marcelo Henrique Souza Bomfim,IFMG
Marcio Delamaro,ICMC/USP
Marco Antonio Costa Sim̵es,UNEB
Marco Antonio Moreira de Carvalho,UFOP
Marco Antonio Simoes Teixeira,PUCPR
Marco Aurelio Wehrmeister,UTFPR
Marcos Andre Goncalves,UFMG
Marcos Vieira,UFMG
Maria Cristina Ferreira Oliveira,ICMC/USP
Maria Lucia Bento Villela,UFV
Mariana Kolberg,UFRGS
Mario Antonio Ribeiro Dantas,UFJF
Mario Fernando Montenegro Campos,UFMG
Maristela Holanda,UnB
Milena Faria Pinto,CEFET-RJ
Moises Ribeiro,UFES
Paulo Lilles Jorge Drews Junior,FURG
Paulo Meirelles,IME/USP
Paulo Roberto Ferreira Junior,UFPEL
Rafael Kunst,Unisinos
Raimundo Macedo,UFBA
Reinaldo Augusto da Costa Bianchi,FEI
Reinaldo Bianchi,FEI
Renan Maffei,UFRGS
Renato Assuncao,UFMG
Renato Ishii,UFMS
Ricardo Prudencio,UFPE
Rita Suzana Pitangueira Maciel,UFBA
Roberto Cesar Junior,IME/USP
Roberto Inoue,UFSCar
Rodolfo Stoffel Antunes,Unisinos
Rodrigo Barros,PUC-RS
Rodrigo Mello,ICMC/USP
Rodrigo Pereira dos Santos,UNIRIO
Rodrigo Righi,Unisinos
Rodrigo de Souza Couto,COPPE/UFRJ
Rog̩rio Sales Gon̤alves,UFU
Roseli Francelin Romero,ICMC/USP
Silvia Costa Botelho,FURG
